
City,Total polulation,Percent Black,Percent White,Edge,Edge rank,HEdge,HEdge rank,HEdgeInfinity,HEdgeInfinity rank,Dissimilarity,Dissimilarity rank,Gini,Gini rank,Moran's I,Moran's I rank
Pittsburgh_PA,2646706.0,7.27579867200966,90.80679909291021,0.5568277981442488,26,0.639388982867775,30,0.004975429175472645,6,0.69139209039525884,17,0.8459787568712861,16,0.5838723396698037,32
Port-St-Lucie_FL,413777.0,10.36041152601522,80.3413432839428,0.5234183508495939,38,0.6202315569691588,40,0.0018751298127578824,48,0.57547509244705863,45,0.75923254947860985,38,0.4651529210963111,55
Portland-South-Portland_ME,582213.0,0.6990568743741552,97.19054710217738,0.4970565924924561,55,0.5035453898870863,70,0.016172990791787665,1,0.4175743169158293,66,0.5502443600656326,66,0.4223623756568534,60
Raleigh_NC,938004.0,20.50279103287406,71.04671195432002,0.43583430130869105,68,0.5548595124057224,63,0.0004974201825134571,70,0.37870040383853681,67,0.52391598535575168,67,0.42436094991740764,59
Rochester_NY,1166924.0,9.460256194919292,84.6229060332978,0.5618070469098378,22,0.6528152065192165,26,0.003139526138442016,30,0.65702141004334835,25,0.80531093699769418,27,0.8028699533978808,2
Sacramento--Roseville--Arden-Arcade_CA,1840544.0,6.8529739033677,68.15615383277988,0.5086909551128065,47,0.5880969271373858,50,0.002899715981377372,33,0.51467856250474497,55,0.65461714314313768,58,0.5606072037431007,38
Salt-Lake-City_UT,993421.0,0.9566940904208789,83.7205978130118,0.49482781988099217,56,0.5044149496265914,69,0.011317748135665238,2,0.34953792633969166,68,0.48673304058088801,68,0.2781526531582666,67
San-Jose-Sunnyvale-Santa-Clara_CA,1822589.0,2.734626402332067,46.60304654532646,0.4854843553841983,62,0.5259362935671095,67,0.004804584623804019,9,0.29882162361784553,70,0.42623752656232461,70,0.1966459677340541,69
Seattle-Tacoma-Bellevue_WA,2917187.0,5.107660221987826,79.29759045272039,0.4933787099806834,58,0.5520194452500367,64,0.0025874432663988236,38,0.48784649517036766,59,0.63080347344488163,60,0.555725393899388,39
South-Bend-Mishawaka_IN-MI,310342.0,10.701741949204425,83.44310470384285,0.4996622914012993,50,0.5808374691916559,53,0.002570857018657358,39,0.57655377079805359,43,0.73672644650683217,46,0.4864771297736568,52
St-Louis_MO-IL,2788657.0,17.24733446960311,79.71407024958609,0.6200209589212249,9,0.7396140587194973,9,0.0019542770475151055,47,0.73774383174633762,6,0.88899744857547813,6,0.6833058832839541,15
Syracuse_NY,749626.0,5.970177128327993,90.06544596905657,0.5571448192287903,25,0.6374345659154882,33,0.005673513265715835,3,0.70563920364805199,14,0.84602293931998218,15,0.7299825971148797,10
Toledo_OH,717050.0,11.019733630848616,83.69876577644516,0.5692452130320877,17,0.6728670266643088,20,0.0033509874415504895,23,0.71006042632714417,12,0.86480079543957988,10,0.764766167309823,7
Tulsa_OK,941717.0,8.410594690336906,77.95866486428513,0.535237157871938,36,0.6291829976161142,34,0.0033028358703286417,25,0.57062782299709347,46,0.75724376965938744,39,0.44658833182166413,57
Washington-Arlington-Alexandria_DC-VA-MD-WV,5006767.0,25.757579691645326,59.113535740728494,0.5671642569215699,18,0.7095395196019638,13,0.0010995230393940597,61,0.59777981421633086,36,0.76125246968240656,37,0.7190793936142145,13
Wichita_KS,625653.0,6.790665113089844,83.38120331877255,0.5253633357521234,37,0.6030998407791655,45,0.003237336297554972,27,0.59172483933181885,38,0.77182168982778454,35,0.5680094552373555,36
York-Hanover_PA,538961.0,3.4995110963502,92.95923081632994,0.5151297460563388,42,0.5548756014399445,62,0.005336003913226089,4,0.68144182710863377,19,0.79192093676421926,29,0.24738031744283442,68
Youngstown-Warren-Boardman_OH-PA,740600.0,9.059951390764246,88.96016743181204,0.5515603077692218,27,0.6389313721574486,31,0.003958487151656651,20,0.72784478774535577,9,0.8647188115873452,11,0.49074067159253115,51
